# Pinned downstream interoperability corpus: 31 formulae and 41 casks.
# Includes every brew/brew-cask root in active profiles plus the one-at-a-time
# optional cask catalog. Manual and Mac App Store entries are outside scope.
# kind token version canonical-api-sha256
formula agent-browser 0.34.0 da96ddb1c685866b4945c235f1c1941d94d847bd48187a05ff77360bc4d5e35d
formula ansible 14.3.1 1744bee77305ed732a4fcf79b9feba164145e065baef45164fd54c8912769848
formula bash 5.3.15 fab276fafadd97af40d97670953b7094f49842f9c83dd40a246537ae8127d32d
formula bat 0.26.1 170eefdd6c23fff0cc6d1084ce7e12eb30e1583c3124b3071f0294ec05ecda92
formula buf 1.72.0 ca56fd12b80cce8279609a69f50f9ffd2085d5c95f65d50019d4082212f8cb26
formula dockutil 3.1.3 b5de9d8ad028aea98d60eb24395fc476200a321f4bce8bd10e08acfd0406d6dd
formula gh 2.98.0 23e4819cce6a9a213230d0d5770aa20c89af306d937839120f5050cdeb396cfb
formula git-lfs 3.7.1 3bb6e9354f58837661ba0ba7ccd30f46dd23fc6b204f053eb83e1deea5aa8a2a
formula git-standup 2.3.2 6adf6655153a63a7caeaf2e98c9b174e77a54eaf06c8346cb41b45057a2c5b54
formula gogcli 0.37.0 9830aa9e0a1bc23f87b7f24fd4c826267f42dd243cec092ae0eaccbec7faa2d9
formula gomplate 5.2.0 26896d6a4a83f2567be408ce690f1243f198d76504d52fb1944d733407ac1d8b
formula gradle 9.7.1 495106aa86866f8bb9c8640a2e5c96f312499e6e84c4951195d92f2b329812f6
formula helm 4.2.4 0eca8142f5ec859ed845cd4ed09182e58d77c42f8d00e68ffe2bcaaf49e6dcc8
formula just 1.58.0 a487b08dc93122540eb890bca64c48f3b2a4fe565589d2060a4281f07135f7de
formula kimi-code 0.38.0 e1a26a9186accd8a5dfa1cf14e3591eb9194f71743ba49330e2d40c0bfc7212a
formula kotlin 2.4.10 a458d61cc72921153063bb7f58fa1363df75317f3287f874afd4f85dcc544877
formula kubectx 0.11.0 d9f13fc59fa76cd4c2ff1d61014a6fbecb9122bbff8e4f66d24fc605d355f14e
formula kubernetes-cli 1.36.4 2010e52cb3fbe3ac17016673577bf2ddcf16609fd12320472792e14e766d5a71
formula linode-cli 5.68.0 192cbaae335cc183b1602e2e4b1ed96ebddffaa3a80300f00ad66ebb40363246
formula mas 7.0.0 e25cd63f433ee58459fc3e79e4c08634f5c546cc8d65f066790cc807a5307f64
formula maven 3.9.16 be98c389831b886b75dddb1d93563d764768608a68b08c24d4937e705677f734
formula mise 2026.8.10 7c94cc6e53c0cfe912e8c75509a2edbcaf513f589c6eb335d08db7ab5878ebf0
formula msedit 2.0.0 6d40c39f4c8b9e08f23f99226afba42995954f36b88deea237862d5e63c4b9b3
formula nushell 0.115.0 2d449f5dcf266adbc64ad0c3958c4216dd22d5b8b215b2f67215db000af8c253
formula opencode 1.18.15 c6b5f281649738809c87551f43ce5a65e80a240afaec656343596e0383d5924f
formula opentofu 1.12.6 0c2f96929d62512386f46e834a92d21c2b25a71d894c63360cb09225bb809f9c
formula rtk 0.45.0 6fb0eb48b93d96f502cda2d0bc02ac39259242cea978f1648b182daf02fcfcf6
formula starship 1.26.0 aa72d9d2975e116be3a3ce50d5b6569e1877ac0a847e7c8ceffee6c0d0dd9362
formula watch 4.0.7 d32cdc5be9a05fbc791798d46a2190b8828a7da906611f6f8398c7014a9d2898
formula wget 1.25.0 13596dd6d2d265e8357ae9c903609e428e0e822015d7ec456e5ab7a5dba7f3f7
formula xh 0.26.2 163e60eaec0b7e2ddd535e2539c14609cbf7824161e0b2b93732030031a17839
cask 1password 8.12.33 7f99a444e4e3f75e59f5730850348709ac9c3f923de5efe780b7f352de00eeb7
cask 1password-cli 2.39.0 208ecd1eb63734ad5d39ac4443bae88b502d281061286d3b454fe02d05a686b5
cask bartender 6.6.2 c5078747fa2b5ba5043e183891a72a45d01bf3053013f5d88a287bb253b816d9
cask chatgpt 26.818.32112 413472b556671b2bd2eda484b273b78dd31bdea6b1f3f0e0ca7864c47ce97434
cask claude 1.34493.1,255293a41a25d54c5177aa9614fb4cd620e70b78 fe31bd03914d3385d0179a0607caab57bd2160f62fb1f09c70b20e0c299ec2fe
